key,cores,path,read,read_total
Read_1_full.ipynb,1,../data/full,1278.5273661613464,1296.8489441871643
Read_2_full.ipynb,2,../data/full,668.0318329334259,686.3615500926971
Read_3_full.ipynb,3,../data/full,470.32032895088196,488.6576142311096
Read_4_full.ipynb,4,../data/full,387.9793999195099,406.31688380241394
Read_8_full.ipynb,8,../data/full,342.40020775794983,360.76513171195984
